,mass,year,reclat,reclong,log(mass)
201,5200.0,1838,-33.13333,19.38333,3.716003343634799
202,469.0,1994,43.76111,-84.50778,2.6711728427150834
203,5000.0,1890,42.53333,12.61667,3.6989700043360187
204,20350.0,1965,-19.85,-47.55,4.308564413561239
205,1200.0,1844,21.16667,-100.86667,3.0791812460476247
206,1460.0,1917,10.2,76.26667,3.164352855784437
207,78.4,1936,35.95,-97.58333,1.8943160626844384
208,3650.0,1877,-27.7,27.3,3.5622928644564746
209,167.0,1892,35.63333,-78.13333,2.2227164711475833
210,4255.0,1902,54.61667,-6.21667,3.628899564420607
211,17000.0,1919,36.83333,-84.35,4.230448921378274
212,6000.0,1877,38.4,-84.25,3.7781512503836434
213,18000.0,1981,35.61667,8.83333,4.2552725051033065
214,5650.0,1878,26.91667,83.96667,3.7520484478194387
215,1064.0,1868,-28.2,24.56667,3.0269416279590295
216,2000.0,1868,34.4,-87.06667,3.3010299956639813
217,100.0,1804,49.86667,8.65,2.0
218,7000.0,1998,41.98444,59.685,3.845098040014257
219,6580.0,2008,-1.87089,-79.95756,3.8182258936139557
220,340.0,1887,43.0,-80.0,2.531478917042255
221,28.0,1829,40.25,-74.0,1.4471580313422192
222,0.8,1897,28.56667,77.25,-0.09691001300805639
223,16400.0,1911,51.46667,84.76667,4.214843848047698
224,230.0,1967,39.7825,-104.93056,2.361727836017593
225,12500.0,2001,26.68333,93.86667,4.096910013008056
226,25400.0,1962,25.73333,73.61667,4.4048337166199385
227,12000.0,2001,19.0,81.0,4.079181246047625
228,1140.0,1994,24.225,76.525,3.0569048513364727
229,45000.0,1976,22.37778,71.42722,4.653212513775344
230,1800.0,1848,14.88333,75.6,3.255272505103306
231,32000.0,1860,32.23333,76.46667,4.505149978319906
232,3396.0,2007,37.35172,27.32997,3.530967681571915
233,1000.0,1906,-33.75,18.56667,3.0
234,400.0,1957,-31.88333,-60.46667,2.6020599913279625
235,166000.0,1884,-7.5,111.5,5.220108088040055
236,3950.0,1961,12.73333,15.05,3.59659709562646
237,10000.0,1999,36.95,9.55,4.0
238,3840.0,1903,23.5,90.33333,3.584331224367531
239,1600.0,1864,50.75,25.3,3.2041199826559246
240,438.0,1907,40.0,29.0,2.6414741105040997
241,128800.0,1995,45.5,119.03333,5.109915863023793
242,230.0,1899,21.86667,82.45,2.361727836017593
243,5500.0,1970,32.91667,120.78333,3.7403626894942437
244,3891.0,1805,51.2,112.3,3.5900612308037427
245,1250.0,1962,13.05,3.16667,3.0969100130080562
246,1161.0,1932,32.33333,-6.3,3.064832219738574
247,642.0,1976,-13.66667,33.91667,2.807535028068853
248,5000.0,1827,36.4,-86.5,3.6989700043360187
249,47700.0,1939,42.52,-82.26,4.678518379040114
250,1900.0,1951,42.45833,18.44167,3.278753600952829
251,30.0,1999,-31.66667,152.83333,1.4771212547196624
252,2270.0,1865,52.55,-8.03333,3.3560258571931225
253,13200.0,1815,30.3,76.63333,4.12057393120585
254,577.0,1853,-4.0,39.5,2.7611758131557314
255,2117.0,1943,33.43333,127.26667,3.325720858019412
256,3230.0,1970,-27.2,31.31667,3.509202522331103
257,300.0,1872,26.25,82.0,2.4771212547196626
258,188.0,1933,-3.0,151.0,2.27415784926368
259,10000.0,1947,40.78167,-96.47167,4.0
260,2400.0,1961,-17.3,15.83333,3.380211241711606
261,3000.0,1785,48.9,11.21667,3.4771212547196626
262,3336.0,1939,56.03333,13.0,3.523226041965701
263,840.0,1916,28.26667,78.78333,2.9242792860618816
264,10000.0,1989,34.41667,3.25,4.0
265,17226.0,1977,25.37,-97.37,4.23618444288015
266,5000.0,1993,19.96722,-103.05167,3.6989700043360187
267,680.5,1998,39.24667,-104.58817,2.8328281295393536
268,107000.0,1399,50.18333,12.73333,5.02938377768521
269,54640.0,1951,47.83333,37.66667,4.737510690673476
270,1470.0,1925,51.75,4.0,3.167317334748176
271,127.0,1900,-29.46667,151.61667,2.103803720955957
272,8000.0,1974,30.3,109.5,3.9030899869919438
273,127000.0,1491,47.86667,7.35,5.103803720955957
274,277.0,1822,48.18333,6.46667,2.4424797690644486
275,113.0,1940,19.03333,81.89167,2.0530784434834195
276,107.2,1911,40.3,44.5,2.030194785356751
277,20000.0,1889,1.16667,44.16667,4.301029995663981
278,2250.0,1812,52.21667,11.25,3.3521825181113627
279,1500.0,1837,46.25,-1.1,3.1760912590556813
280,500.0,1957,2.88333,30.83333,2.6989700043360187
281,320000.0,1879,43.41667,-94.83333,5.505149978319906
282,89400.0,1890,39.75,-97.03333,4.951337518795918
283,56000.0,1934,35.55,-77.53333,4.748188027006201
284,1500.0,1844,44.38333,2.81667,3.1760912590556813
285,2360.0,1934,36.05,-94.16667,3.3729120029701067
286,380.0,1875,36.88333,8.45,2.57978359661681
287,3200.0,1900,32.53333,-87.16667,3.505149978319906
288,82.0,1924,34.6,116.75,1.9138138523837167
289,220.0,1889,36.1,-81.41667,2.342422680822206
